date,eth_exported,usd_value
2024-02-15,3601297.15,10012949277.45
2024-02-16,3616301.95,10222640009.68
2024-02-17,3635139.91,10205188915.57
2024-02-18,3653133.98,10186988153.3
2024-02-19,3655490.4,10509334870.2
2024-02-20,3664777.5,10788090120.94
2024-02-21,3689081.59,11124200334.16
2024-02-22,3697344.65,11007298270.73
2024-02-23,3729557.67,11092195253.84
2024-02-24,3745936.86,10961682259.28
2024-02-25,3760177.68,11236604317.43
2024-02-26,3793646.45,11811170345.47
2024-02-27,3792407.33,12035697474.67
2024-02-28,3825347.51,12401958906.59
2024-02-29,3850729.51,13018561561.87
2024-03-01,3867047.19,12945677022.41
2024-03-02,3866906.15,13270262909.65
2024-03-03,3888984.83,13307686665.85
2024-03-04,3917312.01,13660414904.75
2024-03-05,3925067.82,14264917402.41
2024-03-06,3922659.86,14049143129.74
2024-03-07,3921690.4,14990135341.55
2024-03-08,3933577.2,15191085730.62
2024-03-09,3948491.13,15373899898.7
2024-03-10,3961614.05,15513843781.74
2024-03-11,3959938.2,15394153242.48
2024-03-12,3966782.32,16147200278.2
2024-03-13,3977058.59,15823466430.71
2024-03-14,3982455.44,15961331466.27
2024-03-15,3991493.84,15483157741.28
2024-03-16,3988567.94,14910787322.2
2024-03-17,3999796.54,14056174876.22
2024-03-18,4003081.32,14584347499.05
2024-03-19,4009157.31,14135862249.59
2024-03-20,4014851.2,12732272864.82
2024-03-21,4048101.13,14231862300.29
2024-03-22,4055031.83,14165971630.71
2024-03-23,4081572.38,13562621261.73
2024-03-24,4106009.2,13768973155.62
2024-03-25,4120965.2,14234873195.52
2024-03-26,4155304.48,14911282694.91
2024-03-27,4181237.39,15017116992.2
2024-03-28,4215395.1,14775879285.29
2024-03-29,4233325.64,15071746347.77
2024-03-30,4261169.44,14982681060.93
2024-03-31,4270693.41,14980143246.83
2024-04-01,4285173.69,15618462215.58
2024-04-02,4284900.41,15032492093.11
2024-04-03,4303806.14,14094539911.98
2024-04-04,4305890.95,14281275107.73
2024-04-05,4323926.48,14407711482.8
2024-04-06,4331765.5,14382681233.65
2024-04-07,4340378.69,14595994323.58
